Orden categoría,Código,Producto,Categoría principal,Subcategoría,Naturaleza,Revisión manual,Observación,Cantidad,UM,Base imponible,Impuesto,Total,Fila origen
1,60001724,"EUK AD CHKN+RIC+VEG 13,2OZ/375G",Alimento balanceado y nutrición,Alimento húmedo,Producto,No,,3,Lata,23100.00,0.00,23100.00,93
1,,FHN Ageing +11 Pouch x 85 Gr,Alimento balanceado y nutrición,Alimento húmedo,Producto,No,,26,Pouch,95400.00,0.00,95400.00,122
1,3398812,GI Feline Wet Pouch x 85 Gr,Alimento balanceado y nutrición,Alimento húmedo,Producto,No,,8,Pouch,32150.00,0.00,32150.00,143
1,3394102,Instictive 7+ Pouch 85 Gr,Alimento balanceado y nutrición,Alimento húmedo,Producto,No,,5,Pouch,17940.00,0.00,17940.00,153
1,3393102,Instinctive Pouch x 85 Gr,Alimento balanceado y nutrición,Alimento húmedo,Producto,No,,16,Pouch,60180.00,0.00,60180.00,154
1,3396102,Intense Beauty Pouch x 85 Gr,Alimento balanceado y nutrición,Alimento húmedo,Producto,No,,6,Pouch,21540.00,0.00,21540.00,155
1,25-04-08-02,KATZE ADULTO WET SALMON Y POLLO X 340 GRAMOS,Alimento balanceado y nutrición,Alimento húmedo,Producto,No,,3,Lata,25024.00,0.00,25024.00,158
1,3401102,Kitten Pouch x 85 Gr,Alimento balanceado y nutrición,Alimento húmedo,Producto,No,,2,Pouch,6720.00,0.00,6720.00,160
1,DG01P,MEDIUM ADULT Pouch 140 Gr,Alimento balanceado y nutrición,Alimento húmedo,Producto,No,,7,Pouch,24340.00,0.00,24340.00,172
1,DF10W,Mini Adult Wet Poch x 85 Gr,Alimento balanceado y nutrición,Alimento húmedo,Producto,No,,11,Pouch,26200.00,0.00,26200.00,185
1,DF87V,Mini AGEING 12+ x 85 Gr,Alimento balanceado y nutrición,Alimento húmedo,Producto,No,,4,Pouch,9360.00,0.00,9360.00,187
1,2438102,MINI PUPPY Wet Poch x 85 Gr,Alimento balanceado y nutrición,Alimento húmedo,Producto,No,,5,Pouch,11960.00,0.00,11960.00,190
1,3400204,Mother & Babycat Lata x 195 Gr,Alimento balanceado y nutrición,Alimento húmedo,Producto,No,,11,Pouch,77715.00,0.00,77715.00,197
1,12570869,PEDIGRE POUCH RAZAS PEQUEÑAS CARNE X 100,Alimento balanceado y nutrición,Alimento húmedo,Producto,No,,1,,1600.00,0.00,1600.00,233
1,12570868,PEDIGREE POUCH CACHORRO SABOR CARNE X 85,Alimento balanceado y nutrición,Alimento húmedo,Producto,No,,1,,1600.00,0.00,1600.00,238
1,1102,PEDIGREE POUCH Sabor Carne 12 UND,Alimento balanceado y nutrición,Alimento húmedo,Producto,No,,1,100 Gr,1440.00,0.00,1440.00,236
1,1103,PEDIGREE POUCH Sabor Pollo 12 UND,Alimento balanceado y nutrición,Alimento húmedo,Producto,No,,4,100 Gr,5920.00,0.00,5920.00,237
1,3404102,POODLE Pouch X 85 Gr,Alimento balanceado y nutrición,Alimento húmedo,Producto,No,,3,Pouch,8680.00,0.00,8680.00,256
1,25-04-08-03,POUCH KATZE ADULTO WET SALMON Y POLLO X 100 GRAMOS,Alimento balanceado y nutrición,Alimento húmedo,Producto,No,,3,Pouch,11200.00,0.00,11200.00,259
1,1517102,SENSORY SMELL x 85 Gr,Alimento balanceado y nutrición,Alimento húmedo,Producto,No,,4,Pouch,14040.00,0.00,14040.00,290
1,25-04-02-02,SIEGER PERRO ADULTO WET SALMON Y POLLO X 340 GRAMOS,Alimento balanceado y nutrición,Alimento húmedo,Producto,No,,3,Lata,27600.00,0.00,27600.00,292
1,12570870,WHISKA SABOR PAVO 12 UND,Alimento balanceado y nutrición,Alimento húmedo,Producto,No,,1,,1450.00,0.00,1450.00,325
1,1152,WHISKAS POUCH Sabor Carne 12 UND,Alimento balanceado y nutrición,Alimento húmedo,Producto,No,,6,100 Gr,9120.00,0.00,9120.00,327
1,1153,WHISKAS POUCH Sabor Pollo 12 UND,Alimento balanceado y nutrición,Alimento húmedo,Producto,No,,3,100 Gr,4480.00,0.00,4480.00,328
1,1151,WHISKAS POUCH Sabor Salmon 12 UND,Alimento balanceado y nutrición,Alimento húmedo,Producto,No,,1,100 Gr,1600.00,0.00,1600.00,329
1,PWH01,WHISKAS POUCH Sabor Sardina 12 UND,Alimento balanceado y nutrición,Alimento húmedo,Producto,No,,5,100 Gr,7360.00,0.00,7360.00,330
1,106,First CONGELADO Perro Adulto X 3Kg,Alimento balanceado y nutrición,Alimento natural o congelado,Producto,No,,1,und,42000.00,0.00,42000.00,124
1,207,First CONGELADO Perro PUPPY X1Kg,Alimento balanceado y nutrición,Alimento natural o congelado,Producto,No,,1,und,18000.00,0.00,18000.00,125
1,21704,Balanced Gato Adulto x 2 kg,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,1,2 Kg,20400.00,0.00,20400.00,23
1,21707,Balanced Gato Ctrl. Peso/Cstrdo. x 2 kg,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,1,2 Kg,23550.00,0.00,23550.00,24
1,11724,Balanced Perro Adulto Raza Mediana x 3 kg,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,1,3 Kg,16750.00,0.00,16750.00,25
1,3846030,Bulldog Francés Adulto 3 Kg,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,2,Bolsa,80990.00,0.00,80990.00,42
1,12508669S,CAT CHOW ADULTOS SABOR PESCADO Y POLLO 1 Kg SUELTO,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,8,Bolsa,44175.00,0.00,44175.00,48
1,4224200S,Club Performance Adulto 1 Kg SUELTO,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,6,Bolsa,36470.00,0.00,36470.00,54
1,4273075S,Club Performance Cat 1 Kg SUELTO,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,6,Bolsa,59890.00,0.00,59890.00,55
1,4273015,"Club Performance Cat 1,5Kg",Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,1,Bolsa,20200.00,0.00,20200.00,56
1,4273075SS,Club Performance Cat 500 Gr SUELTO,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,2,Bolsa,10100.00,0.00,10100.00,57
1,4274015,"Club Performance Kitten 1,5Kg",Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,1,Bolsa,21375.00,0.00,21375.00,58
1,3743030,Dachshund 3Kg,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,1,Bolsa,41830.00,0.00,41830.00,75
1,7022150S,EUK Adult Medium Breed 1 Kg SUELTO,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,3,Bolsa,17460.00,0.00,17460.00,95
1,7022150,EUK Adult Medium Breed 15 Kg,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,1,Bolsa,84735.00,0.00,84735.00,96
1,7122030,EUK Adult Medium Breed 3 Kg,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,3,Bolsa,73012.50,0.00,73012.50,94
1,7021150S,EUK Adult Small Breed 1 Kg SUELTO,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,4,Bolsa,28000.00,0.00,28000.00,97
1,7021150,EUK Adult Small Breed 15Kg,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,1,Bolsa,0.00,0.00,0.00,98
1,7021150SS,EUK Adult Small Breed 500 Gr SUELTO,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,9,Bolsa,29150.00,0.00,29150.00,99
1,7222030,EUK ADULTO LAMB 3 Kg,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,4,Bolsa,94334.00,0.00,94334.00,100
1,7341030,EUK FIT BODY SMALL BREED 3 Kg,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,2,Bolsa,56620.00,0.00,56620.00,101
1,50010149,"EUK Gato Adulto Top Condition 1,5 Kg",Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,2,Bolsa,35080.00,0.00,35080.00,102
1,50010213,"EUK Gato Adulto Top Condition 7,5 Kg",Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,1,Bolsa,71984.00,0.00,71984.00,103
1,50010143,Euk Kitten Healthy Start 1 Kg,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,1,Bolsa,13500.00,0.00,13500.00,104
1,7312030,EUK PUPPY LAMB 3Kg,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,1,Bolsa,24120.00,0.00,24120.00,105
1,7033030,EUK Senior Large Breed 3 Kg,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,1,Bolsa,0.00,0.00,0.00,106
1,7131030,EUK Senior Small Breed 3 Kg,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,1,Bolsa,26850.00,0.00,26850.00,107
1,12570707,EXCELLENT ADULT CAT con Pollo y Arroz 1 Kg,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,1,1 Kg,10530.00,0.00,10530.00,109
1,12393466S,EXCELLENT ADULT CAT con Pollo y Arroz 1 Kg SUELTO,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,25,Bolsa,213180.00,0.00,213180.00,110
1,12393466SS,EXCELLENT ADULT CAT con Pollo y Arroz 500 Gr SUELTO,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,18,Bolsa,78042.50,0.00,78042.50,111
1,12570698,"EXCELLENT ADULT CAT con Pollo y Arroz 7,5 Kg",Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,1,"7,5 Kg",69000.00,0.00,69000.00,112
1,12395527S,EXCELLENT ADULT DOG Razas Medianas y Grandes 1 Kg SUELTO,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,6,Bolsa,30000.00,0.00,30000.00,113
1,,EXCELLENT ADULT STERILIZED CHICKEN 1 KG,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,2,1 KG,25130.00,0.00,25130.00,114
1,3603150S,Fit 1 Kg SUELTO,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,6,Bolsa,85588.50,0.00,85588.50,126
1,3603015,"Fit 1,5 Kg",Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,1,Bolsa,32600.00,0.00,32600.00,127
1,3603150SS,Fit 500 Gr SUELTO,Alimento balanceado y nutrición,Alimento seco / balanceado,Producto,No,,15,Bolsa,105928.50,0.00,105928.50,128
